home_team,away_team,year,week,total_home_score,total_away_score
NYG,ARI,2000,1,21.0,16.0
PIT,BAL,2000,1,0.0,16.0
WAS,CAR,2000,1,20.0,17.0
MIN,CHI,2000,1,30.0,27.0
LA,DEN,2000,1,41.0,36.0
NO,DET,2000,1,10.0,14.0
KC,IND,2000,1,14.0,27.0
CLE,JAX,2000,1,7.0,27.0
GB,NYJ,2000,1,16.0,20.0
DAL,PHI,2000,1,14.0,41.0
LV,LAC,2000,1,9.0,6.0
MIA,SEA,2000,1,23.0,0.0
ATL,SF,2000,1,36.0,28.0
NE,TB,2000,1,16.0,21.0
BUF,TEN,2000,1,16.0,13.0
DEN,ATL,2000,2,42.0,14.0
SF,CAR,2000,2,22.0,38.0
TB,CHI,2000,2,41.0,0.0
CIN,CLE,2000,2,7.0,24.0
ARI,DAL,2000,2,32.0,31.0
BUF,GB,2000,2,27.0,18.0
BAL,JAX,2000,2,39.0,36.0
TEN,KC,2000,2,17.0,14.0
MIN,MIA,2000,2,13.0,7.0
NYJ,NE,2000,2,20.0,19.0
LAC,NO,2000,2,27.0,28.0
PHI,NYG,2000,2,18.0,33.0
IND,LV,2000,2,31.0,38.0
SEA,LA,2000,2,34.0,37.0
DET,WAS,2000,2,15.0,10.0
CAR,ATL,2000,3,10.0,15.0
MIA,BAL,2000,3,19.0,6.0
NYJ,BUF,2000,3,27.0,14.0
JAX,CIN,2000,3,13.0,0.0
WAS,DAL,2000,3,21.0,27.0
LV,DEN,2000,3,24.0,33.0
NE,MIN,2000,3,13.0,21.0
SEA,NO,2000,3,20.0,10.0
CHI,NYG,2000,3,7.0,14.0
GB,PHI,2000,3,6.0,3.0
CLE,PIT,2000,3,23.0,20.0
LA,SF,2000,3,41.0,24.0
DET,TB,2000,3,10.0,31.0
BAL,CIN,2000,4,37.0,0.0
LV,CLE,2000,4,36.0,10.0
CHI,DET,2000,4,14.0,21.0
ARI,GB,2000,4,3.0,29.0
IND,JAX,2000,4,43.0,14.0
DEN,KC,2000,4,22.0,23.0
MIA,NE,2000,4,10.0,3.0
TB,NYJ,2000,4,17.0,21.0
NO,PHI,2000,4,7.0,21.0
LAC,SEA,2000,4,12.0,20.0
DAL,SF,2000,4,24.0,41.0
ATL,LA,2000,4,20.0,41.0
PIT,TEN,2000,4,20.0,23.0
NYG,WAS,2000,4,6.0,16.0
SF,ARI,2000,5,27.0,20.0
PHI,ATL,2000,5,38.0,10.0
CLE,BAL,2000,5,0.0,12.0
GB,CHI,2000,5,24.0,27.0
CAR,DAL,2000,5,13.0,16.0
BUF,IND,2000,5,16.0,18.0
CIN,MIA,2000,5,16.0,31.0
DET,MIN,2000,5,24.0,31.0
DEN,NE,2000,5,19.0,28.0
TEN,NYG,2000,5,28.0,14.0
JAX,PIT,2000,5,13.0,24.0
LA,LAC,2000,5,57.0,31.0
KC,SEA,2000,5,24.0,17.0
WAS,TB,2000,5,20.0,17.0
JAX,BAL,2000,6,10.0,15.0
ARI,CLE,2000,6,29.0,21.0
LAC,DEN,2000,6,7.0,21.0
DET,GB,2000,6,31.0,24.0
NE,IND,2000,6,24.0,16.0
CHI,NO,2000,6,10.0,31.0
ATL,NYG,2000,6,6.0,13.0
SF,LV,2000,6,28.0,34.0
NYJ,PIT,2000,6,3.0,20.0
CAR,SEA,2000,6,26.0,3.0
MIN,TB,2000,6,30.0,23.0
CIN,TEN,2000,6,14.0,23.0
