home_team,away_team,year,week,total_home_score,total_away_score,game_date
NYG,ARI,2000,1,21.0,16.0,2000-09-03
PIT,BAL,2000,1,0.0,16.0,2000-09-03
WAS,CAR,2000,1,20.0,17.0,2000-09-03
MIN,CHI,2000,1,30.0,27.0,2000-09-03
LA,DEN,2000,1,41.0,36.0,2000-09-04
NO,DET,2000,1,10.0,14.0,2000-09-03
KC,IND,2000,1,14.0,27.0,2000-09-03
CLE,JAX,2000,1,7.0,27.0,2000-09-03
GB,NYJ,2000,1,16.0,20.0,2000-09-03
DAL,PHI,2000,1,14.0,41.0,2000-09-03
LV,LAC,2000,1,9.0,6.0,2000-09-03
MIA,SEA,2000,1,23.0,0.0,2000-09-03
ATL,SF,2000,1,36.0,28.0,2000-09-03
NE,TB,2000,1,16.0,21.0,2000-09-03
BUF,TEN,2000,1,16.0,13.0,2000-09-03
DEN,ATL,2000,2,42.0,14.0,2000-09-10
SF,CAR,2000,2,22.0,38.0,2000-09-10
TB,CHI,2000,2,41.0,0.0,2000-09-10
CIN,CLE,2000,2,7.0,24.0,2000-09-10
ARI,DAL,2000,2,32.0,31.0,2000-09-10
BUF,GB,2000,2,27.0,18.0,2000-09-10
BAL,JAX,2000,2,39.0,36.0,2000-09-10
TEN,KC,2000,2,17.0,14.0,2000-09-10
MIN,MIA,2000,2,13.0,7.0,2000-09-10
NYJ,NE,2000,2,20.0,19.0,2000-09-11
LAC,NO,2000,2,27.0,28.0,2000-09-10
PHI,NYG,2000,2,18.0,33.0,2000-09-10
IND,LV,2000,2,31.0,38.0,2000-09-10
SEA,LA,2000,2,34.0,37.0,2000-09-10
DET,WAS,2000,2,15.0,10.0,2000-09-10
CAR,ATL,2000,3,10.0,15.0,2000-09-17
MIA,BAL,2000,3,19.0,6.0,2000-09-17
NYJ,BUF,2000,3,27.0,14.0,2000-09-17
JAX,CIN,2000,3,13.0,0.0,2000-09-17
WAS,DAL,2000,3,21.0,27.0,2000-09-18
LV,DEN,2000,3,24.0,33.0,2000-09-17
NE,MIN,2000,3,13.0,21.0,2000-09-17
SEA,NO,2000,3,20.0,10.0,2000-09-17
CHI,NYG,2000,3,7.0,14.0,2000-09-17
GB,PHI,2000,3,6.0,3.0,2000-09-17
CLE,PIT,2000,3,23.0,20.0,2000-09-17
LA,SF,2000,3,41.0,24.0,2000-09-17
DET,TB,2000,3,10.0,31.0,2000-09-17
BAL,CIN,2000,4,37.0,0.0,2000-09-24
LV,CLE,2000,4,36.0,10.0,2000-09-24
CHI,DET,2000,4,14.0,21.0,2000-09-24
ARI,GB,2000,4,3.0,29.0,2000-09-24
IND,JAX,2000,4,43.0,14.0,2000-09-25
DEN,KC,2000,4,22.0,23.0,2000-09-24
MIA,NE,2000,4,10.0,3.0,2000-09-24
TB,NYJ,2000,4,17.0,21.0,2000-09-24
NO,PHI,2000,4,7.0,21.0,2000-09-24
LAC,SEA,2000,4,12.0,20.0,2000-09-24
DAL,SF,2000,4,24.0,41.0,2000-09-24
ATL,LA,2000,4,20.0,41.0,2000-09-24
PIT,TEN,2000,4,20.0,23.0,2000-09-24
NYG,WAS,2000,4,6.0,16.0,2000-09-24
SF,ARI,2000,5,27.0,20.0,2000-10-01
PHI,ATL,2000,5,38.0,10.0,2000-10-01
CLE,BAL,2000,5,0.0,12.0,2000-10-01
GB,CHI,2000,5,24.0,27.0,2000-10-01
CAR,DAL,2000,5,13.0,16.0,2000-10-01
BUF,IND,2000,5,16.0,18.0,2000-10-01
CIN,MIA,2000,5,16.0,31.0,2000-10-01
DET,MIN,2000,5,24.0,31.0,2000-10-01
DEN,NE,2000,5,19.0,28.0,2000-10-01
TEN,NYG,2000,5,28.0,14.0,2000-10-01
JAX,PIT,2000,5,13.0,24.0,2000-10-01
LA,LAC,2000,5,57.0,31.0,2000-10-01
KC,SEA,2000,5,24.0,17.0,2000-10-02
WAS,TB,2000,5,20.0,17.0,2000-10-01
JAX,BAL,2000,6,10.0,15.0,2000-10-08
ARI,CLE,2000,6,29.0,21.0,2000-10-08
LAC,DEN,2000,6,7.0,21.0,2000-10-08
DET,GB,2000,6,31.0,24.0,2000-10-08
NE,IND,2000,6,24.0,16.0,2000-10-08
CHI,NO,2000,6,10.0,31.0,2000-10-08
ATL,NYG,2000,6,6.0,13.0,2000-10-08
SF,LV,2000,6,28.0,34.0,2000-10-08
NYJ,PIT,2000,6,3.0,20.0,2000-10-08
CAR,SEA,2000,6,26.0,3.0,2000-10-08
MIN,TB,2000,6,30.0,23.0,2000-10-09
CIN,TEN,2000,6,14.0,23.0,2000-10-08
PHI,WAS,2000,6,14.0,17.0,2000-10-08
LA,ATL,2000,7,45.0,29.0,2000-10-15
WAS,BAL,2000,7,10.0,3.0,2000-10-15
NO,CAR,2000,7,24.0,6.0,2000-10-15
PIT,CIN,2000,7,15.0,0.0,2000-10-15
DEN,CLE,2000,7,44.0,10.0,2000-10-15
NYG,DAL,2000,7,19.0,14.0,2000-10-15
SEA,IND,2000,7,24.0,37.0,2000-10-15
TEN,JAX,2000,7,27.0,13.0,2000-10-16
CHI,MIN,2000,7,16.0,28.0,2000-10-15
NE,NYJ,2000,7,17.0,34.0,2000-10-15
KC,LV,2000,7,17.0,20.0,2000-10-15
ARI,PHI,2000,7,14.0,33.0,2000-10-15
BUF,LAC,2000,7,27.0,24.0,2000-10-15
GB,SF,2000,7,31.0,28.0,2000-10-15
DAL,ARI,2000,8,48.0,7.0,2000-10-22
MIN,BUF,2000,8,31.0,27.0,2000-10-22
PHI,CHI,2000,8,13.0,9.0,2000-10-22
PIT,CLE,2000,8,22.0,0.0,2000-10-22
CIN,DEN,2000,8,31.0,21.0,2000-10-22
TB,DET,2000,8,14.0,28.0,2000-10-19
NYJ,MIA,2000,8,40.0,37.0,2000-10-23
IND,NE,2000,8,30.0,23.0,2000-10-22
ATL,NO,2000,8,19.0,21.0,2000-10-22
LV,SEA,2000,8,31.0,3.0,2000-10-22
CAR,SF,2000,8,34.0,16.0,2000-10-22
KC,LA,2000,8,54.0,34.0,2000-10-22
BAL,TEN,2000,8,6.0,14.0,2000-10-22
